,0,14,30,6,18,34,7,8,15,35,36,37,38,39,40,41,42,43
68,0.6983,0.7589,0.7488,0.7368,0.7407,0.7442,0.7329,0.7667,0.7529,0.7433,0.7531,0.7182,0.7459,0.7123,0.7662,0.7389,0.7257,0.7612
69,0.713,0.7704,0.7613,0.7497,0.7536,0.7571,0.7461,0.7787,0.7655,0.7562,0.7654,0.7314,0.7585,0.7289,0.7782,0.7516,0.7396,0.7733
70,0.7278,0.7819,0.7738,0.7625,0.7664,0.7699,0.7593,0.7907,0.7781,0.7691,0.7778,0.7446,0.771,0.7456,0.7901,0.7644,0.7534,0.7853
71,0.7426,0.7934,0.7863,0.7754,0.7792,0.7828,0.7725,0.8027,0.7906,0.7819,0.7902,0.7579,0.7836,0.7622,0.8021,0.7771,0.7673,0.7974
72,0.7574,0.805,0.7988,0.7883,0.7921,0.7957,0.7857,0.8147,0.8032,0.7948,0.8026,0.7711,0.7962,0.7789,0.8141,0.7898,0.7811,0.8095
73,0.7843,0.8266,0.8212,0.8118,0.8152,0.8184,0.8095,0.8353,0.8251,0.8176,0.8245,0.7965,0.8188,0.8034,0.8347,0.8132,0.8054,0.8306
74,0.8113,0.8483,0.8435,0.8353,0.8383,0.8411,0.8333,0.8559,0.8469,0.8404,0.8465,0.822,0.8415,0.828,0.8554,0.8365,0.8297,0.8518
75,0.8383,0.87,0.8659,0.8589,0.8614,0.8638,0.8571,0.8765,0.8688,0.8632,0.8684,0.8474,0.8641,0.8526,0.8761,0.8599,0.8541,0.873
76,0.8652,0.8916,0.8882,0.8824,0.8845,0.8865,0.8809,0.8971,0.8907,0.886,0.8903,0.8728,0.8868,0.8771,0.8967,0.8832,0.8784,0.8942
77,0.8922,0.9133,0.9106,0.9059,0.9076,0.9092,0.9047,0.9177,0.9125,0.9088,0.9123,0.8983,0.9094,0.9017,0.9174,0.9066,0.9027,0.9153
78,0.9191,0.935,0.9329,0.9294,0.9307,0.9319,0.9286,0.9382,0.9344,0.9316,0.9342,0.9237,0.9321,0.9263,0.938,0.9299,0.927,0.9365
79,0.9461,0.9567,0.9553,0.953,0.9538,0.9546,0.9524,0.9588,0.9563,0.9544,0.9561,0.9491,0.9547,0.9509,0.9587,0.9533,0.9514,0.9577
80,0.973,0.9783,0.9776,0.9765,0.9769,0.9773,0.9762,0.9794,0.9781,0.9772,0.9781,0.9746,0.9774,0.9754,0.9793,0.9766,0.9757,0.9788
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
